,Country,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_cases,Death_Rate
36,China,4656.0,78869,3258,213.0,4.0,7,5.37,90.88,5.9,85622,1161,1.36,86783.0,5.365106069161011
37,Colombia,8777.0,131161,117163,16306.0,508.0,11494,3.41,51.02,6.69,204005,53096,26.03,257101.0,3.4138334740043796
38,Comoros,7.0,328,19,0.0,0.0,0,1.98,92.66,2.13,334,20,5.99,354.0,1.977401129943503
39,Congo (Brazzaville),54.0,829,2317,162.0,3.0,73,1.69,25.91,6.51,2851,349,12.24,3200.0,1.6875
40,Congo (Kinshasa),208.0,5700,2936,13.0,4.0,190,2.35,64.45,3.65,8443,401,4.75,8844.0,2.3518769787426503
41,Costa Rica,115.0,3824,11902,612.0,11.0,88,0.73,24.14,3.01,11534,4307,37.34,15841.0,0.7259642699324538
42,Cote d'Ivoire,96.0,10361,5198,59.0,0.0,183,0.61,66.18,0.93,14312,1343,9.38,15655.0,0.613222612583839
43,Croatia,139.0,3936,806,24.0,3.0,70,2.85,80.64,3.53,4370,511,11.69,4881.0,2.8477770948576113
44,Cuba,87.0,2351,94,37.0,0.0,2,3.44,92.85,3.7,2446,86,3.52,2532.0,3.4360189573459716
45,Cyprus,19.0,852,189,3.0,0.0,0,1.79,80.38,2.23,1038,22,2.12,1060.0,1.7924528301886793
46,Czechia,373.0,11428,3715,192.0,2.0,0,2.4,73.65,3.26,14098,1418,10.06,15516.0,2.4039700953854086
47,Denmark,613.0,12605,543,109.0,0.0,77,4.45,91.6,4.86,13453,308,2.29,13761.0,4.454618123682872
48,Djibouti,58.0,4977,24,1282.7401129943503,30.401129943502823,11,1.15,98.38,1.17,5020,39,0.78,5059.0,1.1464716347104171
49,Dominica,0.0,18,0,0.0,0.0,0,0.0,100.0,0.0,18,0,0.0,18.0,0.0
50,Dominican Republic,1083.0,30204,32869,1248.0,20.0,1601,1.69,47.08,3.59,53956,10200,18.9,64156.0,1.688072822495168
51,Ecuador,5532.0,34896,40733,467.0,17.0,0,6.82,43.0,15.85,74620,6541,8.77,81161.0,6.8160816155542685
52,Egypt,4652.0,34838,52992,420.0,46.0,1007,5.03,37.67,13.35,88402,4080,4.62,92482.0,5.0301680326982545
53,El Salvador,408.0,7778,6849,405.0,8.0,130,2.71,51.73,5.25,12207,2828,23.17,15035.0,2.7136681077485867
54,Equatorial Guinea,51.0,842,2178,0.0,0.0,0,1.66,27.42,6.06,3071,0,0.0,3071.0,1.660696841419733
55,Eritrea,0.0,191,74,2.0,0.0,2,0.0,72.08,0.0,251,14,5.58,265.0,0.0
